sender.country,sender.city,sender.state,sender.latitude,sender.longitude,receiver.country,receiver.city,receiver.latitude,receiver.longitude,date,number.of.items,percent.of.all.items
USA,Winona,MN,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,1937-05-30,393,0.14485435318661147
USA,Winona,MN,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,1938-07-18,233,0.08588057071877983
USA,Winona,MN,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,1937-11-18,448,0.1651265909099286
USA,Winona,MN,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,1938-04-04,320,0.11794756493566329
USA,Winona,MN,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,1938-05-12,482,0.17765851968434282
USA,Winona,MN,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,1939-03-22,307,0.11315594511015196
USA,Winona,MN,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,1940-06-17,322,0.11868473721651118
USA,Winona,MN,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,1941-06-21,523,0.1927705514417247
USA,Winona,MN,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,1942-05-12,502,0.1850302424928218
CAN,Dodsland,ON,51.799528,-108.835033,DEU,Munich,48.135125,11.581981,1937-05-09,482,0.17765851968434282
CAN,Hamilton,ON,43.250021,-79.866091,DEU,Munich,48.135125,11.581981,1938-07-17,372,0.13711404423770857
CAN,Hamilton,ON,43.250021,-79.866091,DEU,Munich,48.135125,11.581981,1938-09-06,563,0.2075139970586826
CAN,Hamilton,ON,43.250021,-79.866091,DEU,Munich,48.135125,11.581981,1939-02-02,466,0.17176114143755966
USA,Milwaukee,WI,43.038903,-87.906474,DEU,Munich,48.135125,11.581981,1939-05-20,490,0.1806072088077344
USA,Milwaukee,WI,43.038903,-87.906474,DEU,Munich,48.135125,11.581981,1939-07-10,325,0.11979049563778303
USA,Milwaukee,WI,43.038903,-87.906474,DEU,Munich,48.135125,11.581981,1939-07-22,495,0.18245013950985414
USA,Milwaukee,WI,43.038903,-87.906474,DEU,Munich,48.135125,11.581981,1939-10-01,492,0.1813443810885823
USA,Buffalo,NY,42.886447,-78.878369,DEU,Munich,48.135125,11.581981,1939-11-24,261,0.09620098265065037
CAN,Hamilton,ON,43.250021,-79.866091,DEU,Munich,48.135125,11.581981,1939-12-23,359,0.13232242441219724
USA,Buffalo,NY,42.886447,-78.878369,DEU,MÃ¼nchen,48.135125,11.581981,1940-01-12,448,0.1651265909099286
USA,Buffalo,NY,42.886447,-78.878369,DEU,MÃ¼nchen,48.135125,11.581981,1941-04-21,453,0.16696952161204834
USA,Buffalo,NY,42.886447,-78.878369,DEU,MÃ¼nchen,48.135125,11.581981,1941-06-02,357,0.13158525213134936
USA,Buffalo,NY,42.886447,-78.878369,DEU,MÃ¼nchen,48.135125,11.581981,1941-07-09,311,0.11463028967184775
CAN,Dodsland,ON,51.799528,-108.835033,DEU,MÃ¼nchen,48.135125,11.581981,1942-03-29,369,0.13600828581643673
USA,Milwaukee,WI,43.038903,-87.906474,DEU,MÃ¼nchen,48.135125,11.581981,1938-04-03,227,0.08366905387623615
USA,Milwaukee,WI,43.038903,-87.906474,DEU,MÃ¼nchen,48.135125,11.581981,1937-11-23,386,0.14227425020364384
USA,Milwaukee,WI,43.038903,-87.906474,DEU,MÃ¼nchen,48.135125,11.581981,1938-01-02,487,0.17950145038646256
USA,Milwaukee,WI,43.038903,-87.906474,DEU,MÃ¼nchen,48.135125,11.581981,1938-02-13,256,0.09435805194853063
USA,Milwaukee,WI,43.038903,-87.906474,DEU,MÃ¼nchen,48.135125,11.581981,1941-06-28,466,0.17176114143755966
USA,Manitowoc,WI,44.088606,-87.657584,DEU,MÃ¼nchen,48.135125,11.581981,1935-06-15,276,0.10172977475700959
USA,Manitowoc,WI,44.088606,-87.657584,DEU,MÃ¼nchen,48.135125,11.581981,1935-10-08,353,0.13011090756965357
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1864-08-08,527,0.1942448960034205
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1864-08-10,660,0.24326685267980552
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1872-03-22,374,0.13785121651855647
USA,Detroit,MI,42.331427,-83.045754,DEU,Suhl,50.607685,10.688126,1865-06-03,338,0.12458211546329435
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1881-04-09,495,0.18245013950985414
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1890-11-05,504,0.18576741477366968
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1868-02-06,362,0.1334281828334691
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1880-01-27,482,0.17765851968434282
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1868-04-29,389,0.14338000862491568
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1869-01-08,465,0.1713925552971357
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1874-08-28,339,0.1249507016037183
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1880-01-28,456,0.16807528003332017
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1865-10-18,466,0.17176114143755966
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1868-02-05,593,0.21857158127140103
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1868-02-21,377,0.1389569749398283
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1868-08-26,484,0.17839569196519073
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1869-01-08,476,0.17544700284179915
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1871-05-22,453,0.16696952161204834
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1875-03-06,532,0.19608782670554023
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1878-03-24,453,0.16696952161204834
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1879-10-05,330,0.12163342633990276
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1879-12-31,349,0.12863656300795778
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1885-07-07,324,0.11942190949735908
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1885-09-02,340,0.12531928774414225
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1886-12-05,434,0.15996638494399334
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1887-06-08,375,0.13821980265898043
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1887-10-13,478,0.17618417512264703
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1889-02-20,268,0.09878108563361801
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1894-10-08,496,0.1828187256502781
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1869-07-22,377,0.1389569749398283
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1870-04-06,509,0.18761034547578942
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1870-10-28,381,0.1404313195015241
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1872-10-09,499,0.18392448407154993
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1873-07-07,322,0.11868473721651118
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1875-03-29,343,0.12642504616541408
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1875-09-22,268,0.09878108563361801
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1877-03-31,426,0.15701769582060177
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1877-10-28,357,0.13158525213134936
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1878-08-14,438,0.16144072950568913
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1880-07-26,485,0.17876427810561468
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1880-11-24,442,0.16291507406738492
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1863-05-02,306,0.11278735896972802
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1864-08-03,388,0.14301142248449175
USA,Detroit,MI,42.331427,-83.045754,DEU,GrÃ¤fenroda,50.747635,10.810775,1870-10-02,550,0.20272237723317127
USA,St. Louis,MO,38.627003,-90.199404,DEU,Heilbronn,49.142693,9.210879,1857-09-15,336,0.12384494318244646
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Heilbronn,49.142693,9.210879,1847-06-15,329,0.12126484019947882
USA,Warschau,IN,41.2381,-85.853047,DEU,Stuttgart,48.775846,9.182932,1848-12-22,405,0.14927738687169886
USA,Richland County,OH,40.756672,-82.518584,DEU,OsnabrÃ¼ck,52.279911,8.047179,1856-11-23,535,0.19719358512681207
USA,New Orleans,LA,29.951066,-90.071532,DEU,OsnabrÃ¼ck,52.279911,8.047179,1854-12-20,443,0.16328366020780888
USA,Richland County,OH,40.756672,-82.518584,DEU,OsnabrÃ¼ck,52.279911,8.047179,1846-07-22,432,0.15922921266314544
USA,Dayton,OH,39.758948,-84.191607,DEU,OsnabrÃ¼ck,52.279911,8.047179,1856-10-30,339,0.1249507016037183
USA,Chicago,IL,41.878114,-87.629798,USA,Kansas / Cincinati,38.090335,-96.889238,1884-06-19,374,0.13785121651855647
USA,Walhalla,ND,48.923328,-97.918148,DEU,Wismar,53.897942,11.451602,1897-09-10,503,0.18539882863324572
USA,Walhalla,ND,48.923328,-97.918148,DEU,Wismar,53.897942,11.451602,1900-09-12,382,0.14079990564194805
USA,Walhalla,ND,48.923328,-97.918148,DEU,Wismar,53.897942,11.451602,1900-09-20,445,0.16402083248865676
USA,Walhalla,ND,48.923328,-97.918148,DEU,Wismar,53.897942,11.451602,1905-07-21,396,0.14596011160788333
USA,Walhalla,ND,48.923328,-97.918148,DEU,Wismar,53.897942,11.451602,1931-10-26,420,0.15480617897805807
USA,Walhalla,ND,48.923328,-97.918148,DEU,Wismar,53.897942,11.451602,1932-02-14,338,0.12458211546329435
USA,Walhalla,ND,48.923328,-97.918148,DEU,Wismar,53.897942,11.451602,1932-04-28,334,0.12310777090159856
BEL,Antwerpen,Schiff Sorrento,51.219448,4.402464,DEU,Wismar,53.897942,11.451602,1892-07-28,398,0.1466972838887312
GBR,London,Schiff Sorrento,51.507351,-0.127758,DEU,Wismar,53.897942,11.451602,1892-08-01,514,0.18945327617790916
EGY,London,Schiff Sorrento,31.523585,34.610263,DEU,Wismar,53.897942,11.451602,1892-08-07,603,0.22225744267564052
EGY,London,Schiff Sorrento,31.523585,34.610263,DEU,Wismar,53.897942,11.451602,1892-08-23,495,0.18245013950985414
GBR,London,Schiff Sorrento,51.507351,-0.127758,DEU,Wismar,53.897942,11.451602,1892-09-01,265,0.09767532721234616
USA,Cavalier,ND,48.793881,-97.62231,DEU,Leipzig,51.339696000000004,12.373075,1947-11-08,509,0.18761034547578942
USA,Walhalla,ND,48.923328,-97.918148,DEU,Leipzig,51.339696000000004,12.373075,1958-11-15,358,0.13195383827177332
USA,Cavalier,ND,48.793881,-97.62231,DEU,Leipzig,51.339696000000004,12.373075,1934-04-16,450,0.1658637631907765
USA,Cavalier,ND,48.793881,-97.62231,DEU,Leipzig,51.339696000000004,12.373075,1934-07-20,401,0.14780304231000305
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1949-09-08,404,0.1489088007312749
USA,Chicago,IL,41.878114,-87.629798,GDR,Zwickau,50.710217,12.473372,1950-04-04,416,0.15333183441636228
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1968-01-05,345,0.127162218446262
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1971-07-25,324,0.11942190949735908
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1971-08-03,419,0.1544375928376341
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1971-08-29,460,0.169549624595016
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1974-09-23,284,0.10467846388040117
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-03-09,348,0.12826797686753383
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-03-15,385,0.1419056640632199
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-05-06,479,0.17655276126307098
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-05-18,379,0.13969414722067622
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-05-19,496,0.1828187256502781
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-05-29,428,0.15775486810144965
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-06-17,448,0.1651265909099286
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-06-26,446,0.1643894186290807
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-07-14,529,0.19498206828426837
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-07-25,287,0.10578422230167302
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-08-18,361,0.13305959669304515
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-09-09,489,0.18023862266731047
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-09-29,400,0.14743445616957912
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-10-15,351,0.12937373528880566
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-10-21,406,0.1496459730121228
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-11-07,439,0.16180931564611306
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-04-18,280,0.10320411931870538
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-12-13,400,0.14743445616957912
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-01-07,404,0.1489088007312749
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-02-11,308,0.11352453125057592
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-03-01,426,0.15701769582060177
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-03-27,402,0.148171628450427
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-04-11,423,0.1559119373993299
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-04-15,481,0.1772899335439189
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-04-23,460,0.169549624595016
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-05-22,368,0.13563969967601278
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-06-02,289,0.10652139458252091
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-07-04,409,0.15075173143339465
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-07-11,386,0.14227425020364384
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-07-26,447,0.16475800476950467
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-08-10,560,0.20640823863741076
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-09-15,373,0.13748263037813252
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-10-05,582,0.2145171337267376
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-11-02,350,0.1290051491483817
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-11-27,478,0.17618417512264703
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-11-24,560,0.20640823863741076
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-11-27,457,0.16844386617374413
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-12-24,414,0.15259466213551437
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1977-01-01,362,0.1334281828334691
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1977-01-15,555,0.204565307935291
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1977-02-05,473,0.17434124442052729
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1977-02-26,472,0.17397265828010336
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1977-03-13,340,0.12531928774414225
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1977-03-29,492,0.1813443810885823
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1977-09-01,318,0.11721039265481539
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1978-08-07,411,0.15148890371424253
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1978-09-11,242,0.08919784598259536
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1979-04-14,412,0.1518574898546665
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1979-05-11,396,0.14596011160788333
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-12-13,508,0.18724175933536547
USA,Yellowstone,WY,44.427963,-110.588455,GDR,Zwickau,50.710217,12.473372,1975-04-04,365,0.13453394125474094
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1958-06-27,446,0.1643894186290807
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-03-15,517,0.190559034599181
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-05-29,370,0.13637687195686068
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-07-14,311,0.11463028967184775
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-09-09,384,0.14153707792279593
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1975-12-13,382,0.14079990564194805
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-04-14,439,0.16180931564611306
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1976-10-05,469,0.1728668998588315
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1977-01-15,457,0.16844386617374413
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1977-02-26,426,0.15701769582060177
USA,New York,NY,40.712784,-74.005941000000007,GDR,Zwickau,50.710217,12.473372,1977-06-14,344,0.12679363230583804
USA,Philadelphia,PA,39.952584,-75.165222,DEU,Lobenstein,50.449532,11.64425,1844-10-22,431,0.15886062652272148
USA,Philadelphia,PA,39.952584,-75.165222,DEU,Lobenstein,50.449532,11.64425,1846-08-02,293,0.1079957391442167
USA,New York,NY,40.712784,-74.005941000000007,DEU,Lobenstein,50.449532,11.64425,1872-01-25,312,0.11499887581227171
USA,New York,NY,40.712784,-74.005941000000007,DEU,Lobenstein,50.449532,11.64425,1873-05-27,363,0.13379676897389303
USA,Wilmington,Delaware,39.739072,-75.539788,DEU,Wilhelmshaven,53.53234,8.106872,1967-08-28,428,0.15775486810144965
