sender.country,sender.city,sender.state,sender.latitude,sender.longitude,receiver.country,receiver.city,receiver.state,receiver.latitude,receiver.longitude,date,number.of.items,percent.of.all.items
USA, Laevenworth City ,KA,39.311111,-94.922464,DEU, Templin,NA,53.116887,13.497969,1868-11-11,461,0.16991821073543992
USA, St Louis ,MS,38.600423,-90.221624,DEU, Templin,NA,53.116887,13.497969,1869-07-11,521,0.1920333791608768
USA, Park County ,KA,43.919952,-94.70262,DEU, Templin,NA,53.116887,13.497969,1870-11-30,452,0.16660093547162438
USA, Lagrange ,TN,35.136443,-89.302732,DEU, Templin,NA,53.116887,13.497969,1875-02-12,435,0.16033497108441727
USA, Cairo ,IL,37.005329,-89.176461,DEU, Templin,NA,53.116887,13.497969,1875-03-25,448,0.1651265909099286
USA, Nashville ,TN,36.162664,-86.781602,DEU, Templin,NA,53.116887,13.497969,1875-07-12,471,0.1736040721396794
USA, Mobile ,AL,30.696441,-88.180356,DEU, Templin,NA,53.116887,13.497969,1875-10-04,410,0.15112031757381858
USA, Montgomery ,AL,32.366805,-86.299969,DEU, Templin,NA,53.116887,13.497969,1876-01-03,367,0.13527111353558882
USA, Conover ,NC,35.706522,-81.218693,DEU, Templin,NA,53.116887,13.497969,1876-03-28,294,0.10836432528464064
USA, Conover ,NC,35.706522,-81.218693,DEU, Templin,NA,53.116887,13.497969,1878-03-11,303,0.11168160054845618
USA, Conover ,NC,35.706522,-81.218693,DEU, Templin,NA,53.116887,13.497969,1879-01-08,445,0.16402083248865676
USA, Conover ,NC,35.706522,-81.218693,DEU, Templin,NA,53.116887,13.497969,1879-04-02,462,0.17028679687586387
USA, Conover ,NC,35.706522,-81.218693,DEU, Templin,NA,53.116887,13.497969,1879-10-08,340,0.12531928774414225
USA, Conover ,NC,35.706522,-81.218693,DEU, Templin,NA,53.116887,13.497969,1880-08-13,529,0.19498206828426837
USA, Conover ,NC,35.706522,-81.218693,DEU, Templin,NA,53.116887,13.497969,1910-06-25,441,0.16254648792696097
USA, Spokane ,WA,47.65878,-117.426047,DEU, Langen,NA,49.991466,8.663401,1936-01-24,547,0.20161661881189943
USA, Spokane ,WA,47.65878,-117.426047,DEU, Munich,NA,48.135125,11.581981,1936-06-10,430,0.15849204038229756
USA, Spokane ,WA,47.65878,-117.426047,DEU, Munich,NA,48.135125,11.581981,1936-08-02,496,0.1828187256502781
USA, Spokane ,WA,47.65878,-117.426047,DEU, Munich,NA,48.135125,11.581981,1936-10-05,348,0.12826797686753383
USA, Spokane ,WA,47.65878,-117.426047,DEU, Munich,NA,48.135125,11.581981,1936-11-12,475,0.1750784167013752
USA, Winona ,MN,44.055391,-91.666352,DEU, Munich,NA,48.135125,11.581981,1937-03-30,461,0.16991821073543992
USA, Winona ,MN,44.055391,-91.666352,DEU, Munich,NA,48.135125,11.581981,1937-05-30,393,0.14485435318661147
USA, Winona ,MN,44.055391,-91.666352,DEU, Munich,NA,48.135125,11.581981,1938-07-18,233,0.08588057071877983
USA, Winona ,MN,44.055391,-91.666352,DEU, Munich,NA,48.135125,11.581981,1937-11-18,448,0.1651265909099286
USA, Winona ,MN,44.055391,-91.666352,DEU, Munich,NA,48.135125,11.581981,1938-04-04,320,0.11794756493566329
USA, Winona ,MN,44.055391,-91.666352,DEU, Munich,NA,48.135125,11.581981,1938-05-12,482,0.17765851968434282
USA, Winona ,MN,44.055391,-91.666352,DEU, Munich,NA,48.135125,11.581981,1939-03-22,307,0.11315594511015196
USA, Winona ,MN,44.055391,-91.666352,DEU, Munich,NA,48.135125,11.581981,1940-06-17,322,0.11868473721651118
USA, Winona ,MN,44.055391,-91.666352,DEU, Munich,NA,48.135125,11.581981,1941-06-21,523,0.1927705514417247
USA, Winona ,MN,44.055391,-91.666352,DEU, Munich,NA,48.135125,11.581981,1942-05-12,502,0.1850302424928218
CAN, Dodsland ,ON,51.799528,-108.835033,DEU, Munich,NA,48.135125,11.581981,1937-05-09,482,0.17765851968434282
CAN, Hamilton ,ON,43.250021,-79.866091,DEU, Munich,NA,48.135125,11.581981,1938-07-17,372,0.13711404423770857
CAN, Hamilton ,ON,43.250021,-79.866091,DEU, Munich,NA,48.135125,11.581981,1938-09-06,563,0.2075139970586826
CAN, Hamilton ,ON,43.250021,-79.866091,DEU, Munich,NA,48.135125,11.581981,1939-02-02,466,0.17176114143755966
USA, Milwaukee ,WI,43.038903,-87.906474,DEU, Munich,NA,48.135125,11.581981,1939-05-20,490,0.1806072088077344
USA, Milwaukee ,WI,43.038903,-87.906474,DEU, Munich,NA,48.135125,11.581981,1939-07-10,325,0.11979049563778303
USA, Milwaukee ,WI,43.038903,-87.906474,DEU, Munich,NA,48.135125,11.581981,1939-07-22,495,0.18245013950985414
USA, Milwaukee ,WI,43.038903,-87.906474,DEU, Munich,NA,48.135125,11.581981,1939-10-01,492,0.1813443810885823
USA, Buffalo ,NY,42.886447,-78.878369,DEU, Munich,NA,48.135125,11.581981,1939-11-24,261,0.09620098265065037
CAN, Hamilton ,ON,43.250021,-79.866091,DEU, Munich,NA,48.135125,11.581981,1939-12-23,359,0.13232242441219724
USA, Buffalo ,NY,42.886447,-78.878369,DEU, MÃ¼nchen,NA,48.135125,11.581981,1940-01-12,448,0.1651265909099286
USA, Buffalo ,NY,42.886447,-78.878369,DEU, MÃ¼nchen,NA,48.135125,11.581981,1941-04-21,453,0.16696952161204834
USA, Buffalo ,NY,42.886447,-78.878369,DEU, MÃ¼nchen,NA,48.135125,11.581981,1941-06-02,357,0.13158525213134936
USA, Buffalo ,NY,42.886447,-78.878369,DEU, MÃ¼nchen,NA,48.135125,11.581981,1941-07-09,311,0.11463028967184775
CAN, Dodsland ,ON,51.799528,-108.835033,DEU, MÃ¼nchen,NA,48.135125,11.581981,1942-03-29,369,0.13600828581643673
USA, Milwaukee ,WI,43.038903,-87.906474,DEU, MÃ¼nchen,NA,48.135125,11.581981,1938-04-03,227,0.08366905387623615
USA, Milwaukee ,WI,43.038903,-87.906474,DEU, MÃ¼nchen,NA,48.135125,11.581981,1937-11-23,386,0.14227425020364384
USA, Milwaukee ,WI,43.038903,-87.906474,DEU, MÃ¼nchen,NA,48.135125,11.581981,1938-01-02,487,0.17950145038646256
USA, Milwaukee ,WI,43.038903,-87.906474,DEU, MÃ¼nchen,NA,48.135125,11.581981,1938-02-13,256,0.09435805194853063
USA, Milwaukee ,WI,43.038903,-87.906474,DEU, MÃ¼nchen,NA,48.135125,11.581981,1941-06-28,466,0.17176114143755966
DEU, Bremen,NA,53.079296,8.801694,DEU, MÃ¼nchen,NA,48.135125,11.581981,1937-10-23,390,0.14374859476533963
USA, Manitowoc ,WI,44.088606,-87.657584,DEU, MÃ¼nchen,NA,48.135125,11.581981,1935-06-15,276,0.10172977475700959
USA, Manitowoc ,WI,44.088606,-87.657584,DEU, MÃ¼nchen,NA,48.135125,11.581981,1935-10-08,353,0.13011090756965357
USA, Orange ,NJ,33.787794,-117.853112,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1884-07-12,352,0.12974232142922962
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1862-12-24,308,0.11352453125057592
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1869-12-15,365,0.13453394125474094
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1862-12-24,542,0.1997736881097797
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1864-11-13,452,0.16660093547162438
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1869-12-15,512,0.18871610389706125
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1877-06-02,466,0.17176114143755966
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1860-08-06,416,0.15333183441636228
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1861-08-07,338,0.12458211546329435
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1864-01-17,333,0.12273918476117461
USA, Newport ,KY,39.091449,-84.495776,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1864-12-24,509,0.18761034547578942
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1865-09-13,563,0.2075139970586826
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1865-10-13,452,0.16660093547162438
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1866-10-24,268,0.09878108563361801
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1867-06-04,531,0.19571924056511628
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1867-08-14,350,0.1290051491483817
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1868-05-10,436,0.16070355722484123
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1869-07-01,352,0.12974232142922962
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1869-10-25,451,0.16623234933120046
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1871-07-20,286,0.10541563616124906
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1876-09-24,527,0.1942448960034205
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1877-04-16,384,0.14153707792279593
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1877-09-03,343,0.12642504616541408
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1878-06-19,350,0.1290051491483817
USA, Newport ,KY,39.091449,-84.495776,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1864-12-23,379,0.13969414722067622
USA, Newport ,KY,39.091449,-84.495776,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1865-01-19,429,0.1581234542418736
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1866-11-01,381,0.1404313195015241
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1867-06-07,410,0.15112031757381858
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1867-07-15,408,0.1503831452929707
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1868-05-10,481,0.1772899335439189
USA, Warsaw ,IL,40.359211,-91.434598,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1870-06-12,428,0.15775486810144965
USA, Warsaw ,IL,40.359211,-91.434598,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1871-05-31,379,0.13969414722067622
USA, Warsaw ,IL,40.359211,-91.434598,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1871-06-17,536,0.19756217126723602
USA, Warsaw ,IL,40.359211,-91.434598,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1872-10-20,346,0.12753080458668592
USA, Koekuk ,IA?,40.404473,-91.396397,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1877-09-03,446,0.1643894186290807
USA, Koekuk ,IA?,40.404473,-91.396397,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1878-06-19,368,0.13563969967601278
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1860-08-06,311,0.11463028967184775
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1861-08-07,370,0.13637687195686068
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1862-12-24,585,0.21562289214800945
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1864-01-17,503,0.18539882863324572
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1864-10-12,410,0.15112031757381858
USA, Newport ,KY,39.091449,-84.495776,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1864-12-24,524,0.19313913758214862
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1865-09-13,426,0.15701769582060177
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1865-09-13,392,0.14448576704618754
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1866-10-24,407,0.15001455915254674
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1866-10-24,464,0.17102396915671178
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1867-06-04,377,0.1389569749398283
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1867-08-14,320,0.11794756493566329
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1868-05-10,307,0.11315594511015196
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1869-07-01,369,0.13600828581643673
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1869-10-25,375,0.13821980265898043
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1871-07-20,253,0.09325229352725879
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1876-09-24,601,0.2215202703947926
USA, Newport ,KY,39.091449,-84.495776,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1864-12-23,336,0.12384494318244646
USA, Newport ,KY,39.091449,-84.495776,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1865-01-19,518,0.19092762073960495
USA, Maisfeld ,near Oskaloosa ,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1865-10-01,542,0.1997736881097797
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1866-11-01,264,0.09730674107192222
USA, Oskaloosa ,IA,41.291673,-92.649359,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1867-02-24,402,0.148171628450427
USA, Warsaw ,IL,40.359211,-91.434598,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1870-06-12,437,0.16107214336526518
USA, Warsaw ,IL,40.359211,-91.434598,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1871-05-31,385,0.1419056640632199
USA, Warsaw ,IL,40.359211,-91.434598,DEU, Ribnitz ,Mecklenburg,54.252211,12.439749,1872-10-20,474,0.17470983056095124
DEU, Erfurt,NA,50.984768,11.02988,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1888-03-02,236,0.08698632914005168
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1864-08-08,527,0.1942448960034205
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1864-08-10,660,0.24326685267980552
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1872-03-22,374,0.13785121651855647
DEU, Gotha,NA,50.946919,10.709288,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1881-02-18,379,0.13969414722067622
DEU, Gotha,NA,50.946919,10.709288,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1881-02-26,487,0.17950145038646256
FRA, Versailles,NA,48.801408,2.130122,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1881-08-26,497,0.18318731179070205
FRA, Fort de Noisy,NA,48.833953,2.560984,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1882-03-12,398,0.1466972838887312
USA, Detroit ,MI,42.331427,-83.045754,DEU, Suhl,NA,50.607685,10.688126,1865-06-03,338,0.12458211546329435
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1881-04-09,495,0.18245013950985414
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1890-11-05,504,0.18576741477366968
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1868-02-06,362,0.1334281828334691
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1880-01-27,482,0.17765851968434282
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1868-04-29,389,0.14338000862491568
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1869-01-08,465,0.1713925552971357
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1874-08-28,339,0.1249507016037183
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1880-01-28,456,0.16807528003332017
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1865-10-18,466,0.17176114143755966
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1868-02-05,593,0.21857158127140103
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1868-02-21,377,0.1389569749398283
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1868-08-26,484,0.17839569196519073
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1869-01-08,476,0.17544700284179915
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1871-05-22,453,0.16696952161204834
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1875-03-06,532,0.19608782670554023
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1878-03-24,453,0.16696952161204834
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1879-10-05,330,0.12163342633990276
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1879-12-31,349,0.12863656300795778
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1885-07-07,324,0.11942190949735908
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1885-09-02,340,0.12531928774414225
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1886-12-05,434,0.15996638494399334
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1887-06-08,375,0.13821980265898043
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1887-10-13,478,0.17618417512264703
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1889-02-20,268,0.09878108563361801
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1894-10-08,496,0.1828187256502781
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1869-07-22,377,0.1389569749398283
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1870-04-06,509,0.18761034547578942
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1870-10-28,381,0.1404313195015241
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1872-10-09,499,0.18392448407154993
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1873-07-07,322,0.11868473721651118
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1875-03-29,343,0.12642504616541408
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1875-09-22,268,0.09878108563361801
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1877-03-31,426,0.15701769582060177
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1877-10-28,357,0.13158525213134936
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1878-08-14,438,0.16144072950568913
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1880-07-26,485,0.17876427810561468
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1880-11-24,442,0.16291507406738492
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1863-05-02,306,0.11278735896972802
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1864-08-03,388,0.14301142248449175
USA, Detroit ,MI,42.331427,-83.045754,DEU, GrÃ¤fenroda,NA,50.747635,10.810775,1870-10-02,550,0.20272237723317127
USA, Monroe ,MI,41.916434,-83.39771,DEU, Nienhagen ,Mecklenburg,54.161424,11.953062,1895-11-21,360,0.1326910105526212
USA, Tonawanda ,NY,43.020335,-78.880315,DEU, Nienhagen ,Mecklenburg,54.161424,11.953062,1893-10-20,522,0.19240196530130074
USA, Tonawanda ,NY,43.020335,-78.880315,DEU, Nienhagen ,Mecklenburg,54.161424,11.953062,1898-07-31,401,0.14780304231000305
USA, Tonawanda ,NY,43.020335,-78.880315,DEU, Nienhagen ,Mecklenburg,54.161424,11.953062,1902-08-08,274,0.1009926024761617
USA, Tonawanda ,NY,43.020335,-78.880315,DEU, Nienhagen ,Mecklenburg,54.161424,11.953062,1910-01-18,227,0.08366905387623615
USA, Tonawanda ,NY,43.020335,-78.880315,DEU, Nienhagen ,Mecklenburg,54.161424,11.953062,1916-10-01,466,0.17176114143755966
USA, Tonawanda ,NY,43.020335,-78.880315,DEU, Nienhagen ,Mecklenburg,54.161424,11.953062,1893-10-20,409,0.15075173143339465
USA, Tonawanda ,NY,43.020335,-78.880315,DEU, Nienhagen ,Mecklenburg,54.161424,11.953062,1910-01-18,363,0.13379676897389303
USA, Tonawanda ,NY,43.020335,-78.880315,DEU, Nienhagen ,Mecklenburg,54.161424,11.953062,1916-10-01,319,0.11757897879523935
USA, Tonawanda ,NY,43.020335,-78.880315,DEU, Nienhagen ,Mecklenburg,54.161424,11.953062,1914-08-26,510,0.18797893161621337
USA, Tonawanda ,NY,43.020335,-78.880315,DEU, Nienhagen ,Mecklenburg,54.161424,11.953062,1903-03-19,320,0.11794756493566329
USA, Tonawanda ,NY,43.020335,-78.880315,DEU, Nienhagen ,Mecklenburg,54.161424,11.953062,1904-10-26,392,0.14448576704618754
USA, St. Louis ,MO,38.627003,-90.199404,DEU, Heilbronn,NA,49.142693,9.210879,1857-09-15,336,0.12384494318244646
USA, Cincinnati ,OH,39.103118,-84.51202,DEU, Heilbronn,NA,49.142693,9.210879,1847-06-15,329,0.12126484019947882
USA, Warschau ,IN,41.2381,-85.853047,DEU, Stuttgart,NA,48.775846,9.182932,1848-12-22,405,0.14927738687169886
USA, Oak Grove ,WI,43.386106,-88.74566,DEU, Neubrunn ,TH,50.49939,10.468045,1865-01-25,283,0.10430987773997723
USA, Oak Grove ,WI,43.386106,-88.74566,DEU, Neubrunn ,TH,50.49939,10.468045,1865-10-17,363,0.13379676897389303
